lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
FollowCount,~,NudgeType,h1,0.2746598639455786,0.14912695598868458,1.8417854915942842,0.06550653308827048,-0.01855261756717227,0.5807664078894622,0.2746598639455786,0.17899352169478777
dRiskTolerance,~,FollowCount,h2a,0.0071305573643758524,0.023520990904602804,0.3031571838659433,0.7617700768251485,-0.04229137045776083,0.05210958342365687,0.0071305573643758524,0.033366183408747314
dRiskTolerance,~,NudgeType,h3a,-0.051005921036573205,0.026791663176565228,-1.9037982338173123,0.0569364666544665,-0.10256630733981031,9.907228938769168e-4,-0.051005921036573205,-0.15554131314677905
dRiskTolerance,~,PreRiskTolerance,c1,-0.4740887145836102,0.11212020821205437,-4.228396665897732,2.3536257022449547e-5,-0.6895255549754843,-0.2594378083659996,-0.4740887145836102,-0.5118582610084013
dSelfEfficacy,~,FollowCount,h2b,0.001816534559148284,0.08141704767993466,0.022311476661367215,0.9821994941099779,-0.15295328103981348,0.17467398174882956,0.001816534559148284,0.0027004325919510563
dSelfEfficacy,~,PreSelfEfficacy,c2,-0.2682139049408431,0.08484928885716317,-3.1610624974401285,0.0015719476653590636,-0.44969269652088445,-0.0994091791550335,-0.2682139049408431,-0.34785617258441875
dTrust,~,FollowCount,h2c,-0.07555304904634852,0.0551800016536826,-1.369210706453581,0.17093342027144942,-0.18533639801791466,0.022168233004349006,-0.07555304904634852,-0.11426810262117225
dTrust,~,NudgeType,h3b,0.2229476957442011,0.1014899716609681,2.1967460636304845,0.028038587067403142,0.02708369312534417,0.42002975908279916,0.2229476957442011,0.21974455416101557
dTrust,~,PreTrust,c3,-0.0956647818719231,0.04811787891337008,-1.9881338087274165,0.046796893112616145,-0.19646301792638401,-0.008991088141020181,-0.0956647818719231,-0.17946031518651032
dBehavioralIntention,~,dRiskTolerance,h4a,0.4945283820269926,0.2677172990380725,1.8472036876356837,0.06471762513978119,-0.014187952930396135,1.029588104705537,0.4945283820269926,0.19738671370222088
dBehavioralIntention,~,dSelfEfficacy,h4b,0.29007132636443683,0.07883444329124566,3.6794999020009374,2.3369177921139794e-4,0.12590369605680812,0.4386626636883004,0.29007132636443683,0.36443902320285904
dBehavioralIntention,~,dTrust,h4c,0.06989881372533246,0.06779324990316841,1.031058605763428,0.30251333780656253,-0.07356637553592865,0.1988403665836781,0.06989881372533246,0.08631902657380836
dBehavioralIntention,~,Motivation,h5,0.001371200242604687,0.0394932371481228,0.034719874632253664,0.9723031128160335,-0.08088794522739556,0.0765299176772792,0.001371200242604687,0.0030158437527393264
dBehavioralIntention,~,PreBehavioralIntention,c4,-0.17442561389999592,0.04495228105172217,-3.880239441004151,1.0435368318861826e-4,-0.2599191085402052,-0.07451608638043053,-0.17442561389999592,-0.3085701263461309
FollowCount,~~,FollowCount,,0.5697278911564617,0.14615704286602907,3.8980529434950837,9.696921897162092e-5,0.2928270860656721,0.8765192541501827,0.5697278911564617,0.9679613191912975
dRiskTolerance,~~,dRiskTolerance,,0.018884878832425348,0.002800610467658689,6.743129417856212,1.550115591442136e-11,0.012631501995393089,0.023894683449919865,0.018884878832425348,0.702539639905545
dSelfEfficacy,~~,dSelfEfficacy,,0.23411518485214872,0.04090492795705234,5.723398048713232,1.0441423725637833e-8,0.14934139194794407,0.3140011072055797,0.23411518485214872,0.8790214189898138
dTrust,~~,dTrust,,0.23217326229966656,0.0506417059024162,4.584625619584217,4.548005922533349e-6,0.14638056713556746,0.3411563699555165,0.23217326229966656,0.9022954486295618
dBehavioralIntention,~~,dBehavioralIntention,,0.11429853417252903,0.01928757809938721,5.92601795744176,3.1036866410261155e-9,0.07137712462402697,0.14636035726836727,0.11429853417252903,0.6774085619094345
NudgeType,~~,NudgeType,,0.24997334558205464,0.003884508306949898,64.35134792602177,0,0.23594426759097625,0.24997358736584968,0.24997334558205464,1
NudgeType,~~,PreRiskTolerance,,0.006943647394647229,0.008802354737654543,0.7888397595411405,0.4302056680040738,-0.009881642583225379,0.024441451715654042,0.006943647394647229,0.07845651687224885
NudgeType,~~,PreSelfEfficacy,,0.032469243787289104,0.033499586569488954,0.9692431194617108,0.33242390173579905,-0.030487237291107527,0.10098295459421601,0.032469243787289104,0.09702682824097673
NudgeType,~~,PreTrust,,-0.08741609002785593,0.04641742519386443,-1.8832602123611717,0.05966511261329899,-0.18097802729579351,0.0070029021884762885,-0.08741609002785593,-0.18373693476129474
NudgeType,~~,Motivation,,-0.019343416817021012,0.04306372264507489,-0.4491812511530115,0.6533009113484782,-0.0992623769193477,0.06640255431965196,-0.019343416817021012,-0.04282362162336905
NudgeType,~~,PreBehavioralIntention,,-0.005137076405256274,0.035861557888352644,-0.14324744120847935,0.8860947634659639,-0.07732925812309983,0.06608456857854274,-0.005137076405256274,-0.014139386496755743
PreRiskTolerance,~~,PreRiskTolerance,,0.03133455764178475,0.005038235565331497,6.219351444660577,4.992140034687509e-10,0.021869920995659316,0.04145958622466159,0.03133455764178475,1
PreRiskTolerance,~~,PreSelfEfficacy,,-0.004453188753710139,0.011115645876891995,-0.40062348180484486,0.6886973546038404,-0.0283961779462601,0.01601837880822464,-0.004453188753710139,-0.03758597596735831
PreRiskTolerance,~~,PreTrust,,0.03001730988740764,0.022608954318338353,1.3276735166411608,0.18428598614916014,-0.014241268658523473,0.07749309730114667,0.03001730988740764,0.1782017339923908
PreRiskTolerance,~~,Motivation,,0.04974917454949692,0.020365039110099965,2.4428715447359,0.014570922550871002,0.011667333561370242,0.0909801042858595,0.04974917454949692,0.3110793261030974
PreRiskTolerance,~~,PreBehavioralIntention,,0.053561099669317616,0.01875402696837385,2.8559785991371998,0.004290440524155059,0.01823964671457033,0.0928400319498076,0.053561099669317616,0.41638885156484107
PreSelfEfficacy,~~,PreSelfEfficacy,,0.4479886135234783,0.07848296849400975,5.708099758709703,1.1424445833796426e-8,0.3075564362248094,0.6057462644626191,0.4479886135234783,1
PreSelfEfficacy,~~,PreTrust,,0.10365116674060719,0.07099362091755802,1.4600067640016987,0.14428821496955635,-0.04129883681756415,0.24031681530202495,0.10365116674060719,0.16273937662549967
PreSelfEfficacy,~~,Motivation,,0.039430069129446035,0.06345383860248212,0.6213976963074327,0.5343379874183216,-0.09284543924060992,0.16190733754975728,0.039430069129446035,0.06520653229270217
PreSelfEfficacy,~~,PreBehavioralIntention,,0.12096525130936647,0.04468299067204186,2.707187891634443,0.0067855841140658235,0.02961030061020032,0.205212175243752,0.12096525130936647,0.24870730205450947
PreTrust,~~,PreTrust,,0.9055159785731384,0.14467174676294808,6.259107246813517,3.8718761530276424e-10,0.6391378639276499,1.1968318737415635,0.9055159785731384,1
PreTrust,~~,Motivation,,0.38842302894786845,0.09424305378917672,4.121503000282411,3.764085682478324e-5,0.19793530978625581,0.5792243574521225,0.38842302894786845,0.45180805118296163
PreTrust,~~,PreBehavioralIntention,,0.3615423389269571,0.10275401537680647,3.5185227321886643,4.339566352955515e-4,0.17696172511714953,0.5692381255707294,0.3615423389269571,0.5228444428044935
Motivation,~~,Motivation,,0.8162174802961036,0.10781459742062018,7.570565580389555,3.708144902248023e-14,0.6108221791608567,1.0282268157770893,0.8162174802961036,1
Motivation,~~,PreBehavioralIntention,,0.29582836526406864,0.08034213180029637,3.682107489995397,2.3131383767882596e-4,0.1428589005245543,0.45846147234669316,0.29582836526406864,0.45060733828931293
PreBehavioralIntention,~~,PreBehavioralIntention,,0.5280526368553498,0.101389318649596,5.208168314852897,1.9071389179003972e-7,0.3396278094395392,0.7328829753279885,0.5280526368553498,1
FollowCount,~1,,,2.541666666666666,0.12457743485805738,20.402303752381982,0,2.2955157128616013,2.771901993629721,2.541666666666666,3.312942163926092
dRiskTolerance,~1,,,0.2368323289602642,0.095663959910741,2.475669303060839,0.013298669303819066,0.03508897359442436,0.4017161218036233,0.2368323289602642,1.444505837727172
dSelfEfficacy,~1,,,1.2766314210946546,0.3935272301189734,3.2440739125185725,0.0011783316542461897,0.5138073834949983,2.080150457135941,1.2766314210946546,2.473719579318236
dTrust,~1,,,0.564685861123639,0.2696479264025366,2.0941598500581944,0.036245743032112365,0.09880206285386857,1.0949770171691737,0.564685861123639,1.1132051203569788
dBehavioralIntention,~1,,,0.8041909735472741,0.24173724006514916,3.3267152935581685,8.787610720368821e-4,0.3107546139899734,1.23372035457791,0.8041909735472741,1.9577814286030755
NudgeType,~1,,,0.5051546391752577,0.051812487262440435,9.749669739199165,0,0.4020622662097556,0.6185564057953461,0.5051546391752577,1.0103631410691105
PreRiskTolerance,~1,,,0.5195876288659798,0.017608045235161865,29.508535554441025,0,0.4852408430850364,0.5559787921200824,0.5195876288659798,2.9352629863982576
PreSelfEfficacy,~1,,,4.701030927835052,0.06780723065096694,69.3293455978653,0,4.567075924632435,4.82989702606926,4.701030927835052,7.023597580188712
PreTrust,~1,,,4.208762886597938,0.09631287595145673,43.6988600435857,0,4.025773015520282,4.40972798345322,4.208762886597938,4.422892665273444
Motivation,~1,,,4.085910652920961,0.09490274768908201,43.053660219692674,0,3.8969945085263484,4.285223520998109,4.085910652920961,4.522576480692583
PreBehavioralIntention,~1,,,5.329896907216496,0.07161581239732219,74.42346499745618,0,5.189090964026488,5.467266468115169,5.329896907216496,7.334663617465435
ind_risk,:=,h1*h2a*h4a,ind_risk,9.685229148153156e-4,0.004124324642266673,0.2348318812951224,0.8143392218646539,-0.007328418903402741,0.010228327450197819,9.685229148153156e-4,0.0011788587248534087
ind_se,:=,h1*h2b*h4b,ind_se,1.4472503591305344e-4,0.007949519765362041,0.018205506770818412,0.9854749095975519,-0.010036794140037525,0.02309181802913684,1.4472503591305344e-4,1.7615522429157923e-4
ind_trust,:=,h1*h2c*h4c,ind_trust,-0.0014504975561564087,0.002741793381903962,-0.5290324083972918,0.5967829682844561,-0.008691276907731142,0.001807605827567259,-0.0014504975561564087,-0.00176550463938129
ind_total,:=,ind_risk+ind_se+ind_trust,ind_total,-3.372496054280397e-4,0.010576321029845303,-0.03188723228770719,0.9745619806215629,-0.01886908960782914,0.0259238853017132,-3.372496054280397e-4,-4.1049069023630226e-4
